A10	auto-estrada 10
GDF	Gaz de France
GDHSI	grupo Direito à Habitação da Solidariedade Imigrante
GDHSI	Grupo Direito à Habitação da Solidariedade Imigrante
GDP	Gás de Portugal
Gdpn	Genética Médica e Diagnóstico Pré-Natal
GDS	Gabinete Coordenador de Segurança
GDS	Gabinete de Desenvolvimento Social
GDSP	Direcção-Geral dos Serviços Prisionais
GEA	Gastrenterite Aguda
GEA	Grupo de Agências de Viagens Independentes
GEAP	Grupo Especial de Acção e Pesquisa
GEAV	Gabinete de Estudos e Atendimento a Vítimas
Gebalis	gere os bairros municipais de Lisboa
Gebalis	Gestão de Bairros Municipais de Lisboa
Gebalis	gestão dos bairros municipais de Lisboa
GECEM	Grupo de Estudo sobre Cetáceos do Mediterrâneo
GEC	Grupo Ecológico de Cascais
GEE	Gabinete de Estratégia e Estudos
GEE	gases com efeito de estufa
GEE	gases com efeito de Estufa
GEE	Gases com Efeito de Estufa
GEE	gases com efeito estufa
GEE	gases com efeitos de estufa
GEE	gases de efeito de estufa
GEEM	Grupo de Estudos de Esclerose Múltipla
GEF	Global Environmental Facility
GEF	Global Environment Facility
GE	General Electric
GE	General Electrics
GEM	Global Entrepreneurship Monitor
GEO-3	"Global Environment Outlook-3"
GEO	Grupo de Observações da Terra
GEOTA	Grupo de Estudos de Ordenamento de Território e Ambiente
Geota	Grupo de Estudos de Ordenamento do Território e Ambiente
GEOTA	Grupo de Estudos de Ordenamento do Território e Ambiente
GEOTA	Grupo de Estudos de Ordenamento do Território e de Ambiente
GEOTA	Grupo de Estudos de Ordenamento do Território e do Ambiente
GEOTA	Grupo de Estudos do Ordenamento de Território e Ambiente
Geota	Grupo de Estudos do Ordenamento do Território e Ambiente
GEOTA	Grupo de Estudos do Ordenamento do Território e Ambiente
Geota	Grupo de Estudos do Ordenamento do Território e do Ambiente
Geota	Grupo de Estudos sobre Ordenamento do Território e do Ambiente
GEPE	Gabinete de Estatística e Planeamento da Educação
GEPE	Gabinete de Estudo e Planeamento de Estruturas
GEPE	Gabinete de Estudos e Prospectiva Económica
GEP	Gabinete de Estratégia e Planeamento
GEP	Grundig Electrónica de Portugal
GEPI	Gabinete de Estudos e Planeamento de Infra-estruturas
GEPI	Gabinete de Estudos e Planeamento de Instalações
Gerap	Gestão Partilhada de Recursos da Administração Pública
GeRAP	Gestão Partilhada de Recursos da Administração Pública
GERTIL	Grupo de Estudos para a Reconstrução de Timor-Leste
GES	grupo Espírito Santo
GES	Grupo Espírito Santo
GES	Grupo Espírito Santos
GETAP	gabinete de Educação Tecnológica-Artistica e Profissional
GFC	Gestão Flexível do Currículo
GFE	Gabinete Federal de Estatísticas
GGP	Grupo de Genética Populacional
GHA	Global Hotel Alliance
GHB	Gama Hidroxi-Butírico
GIA	Grupo Islâmico Armado
GIASE	gabinete de estatística do Ministério da Educação
GIASE	Gabinete de Informação e Avaliação do Sistema Educativo
GICD	Grupo de Investigação do Cancro Digestivo
GIC	Gabinete de Informação e Comunicação
GICM	Grupo Islâmico dos Combatentes de Marrocos
GIEC	Grupo Intergovernamental sobre Evolução do Clima
GI	geográficas
GIG	German Industrial Group
GIM	Gabinete do Inquilino Municipal
GINA	Global Initiative For Asma
GIPC	Gare Intermodal do Porto Campanhã
GIPE	Grupos de Intervenção Permanentes
GIP	gabinetes de inserção profissional
GIP	Gabinetes de Inserção Profissional
GIP	Global Infrastructure Partners
GIP	Grundig Indústria Portuguesa
GIPs	Gabinetes de Inserção Profissional
GIPS/GNR	Grupo de Intervenção de Protecção e Socorro da GNR
GIPS	Grupo de Intervenção à Protecção e Socorro
GIPS	Grupo de Intervenção de Protecção do Socorro
GIPS	Grupo de Intervenção de Protecção e Socorro
GIPS	Grupo de Intervenção dos Serviços Prisionais
GIPS	Grupo de Intervenção e Prevenção do Socorro
GIPS	Grupo de Intervenção e Segurança dos Serviços Prisionais
GIPS	Grupo de Intervenção Protecção e Socorro
GIPS	Grupos de Intervenção de Protecção e Socorro
GIPS	Grupos de Intervenção Protecção e Socorro da GNR
GIPSI	Gabinete de Investigação e de Projecto em Sistemas de Informação
GISAF	Gabinete de Investigação de Segurança de Acidentes Ferroviários
GISAF	Gabinete de Investigação de Segurança e Acidentes Ferroviários
GISA	Gestão Integrada da Saúde e Ambiente
GISA	Gestão Integrada de Sistema de Arquivo
GISP	Grupo de Intervenção dos Serviços Prisionais
GISP	Grupo de Intervenção e Segurança dos Serviços Prisionais
GISP	Grupo de Intervenção e Segurança Prisional
GIT	Gabinete de Iniciativas Transfronteiriças
GLF	Government Leaders Forum Europe
g/l	gramas por litro
GLNP	Grande Loja Nacional Portuguesa
GloBallast	Global sobre Gestão de Águas de Lastro
GLP	gás liquefeito de petróleo
GLRP	Grande Loja Regular de Portugal
GLRP	Grande Loja Regular Portuguesa
GMC	Global Management Challenge
GMC	Grupo Media Capital
GMD	Grupo Moçambicano da Dívida
GME	General Motors Europa
GME	GM Europa
GM	General Maritime
GM	General Mortos
GM	General Motors
GM	General Motros
GM	geneticamente modificado
GM	geneticamente modificados
GMP	General Motors Portugal
GNB	Guarda Nacional Bolivariana
GNE	Gabinete Nacional de Estatísticas
GN	Gás Natural
GN	Guarda Nacional
GNLE	gás natural embarcada
GNL	gás natural liquefeito
GNL	Gás Natural Liquefeito
GNL	gás natural liquidificado
GNR	garante que foram menos de 15
GNR	garante zonas verdes
GNR	grandes centros urbanos
GNR	Guarda Nacional Repubicana
GNR	Guarda Nacional Republica
GNR	Guarda Nacional República
GNR	Guarda nacional Republicana
GNR	Guarda Nacional republicana
GNR	Guarda Nacional Republicana
GNR	Guarda Nacional Repúblicana
GNS	Gabinete Nacional de Segurança
GOEC	Gabinete de Orientação ao Endividamento dos Consumidores
GOE	Grupo de Operações Especiais
GOE	Grupo de Operações Especiais da PSP
Gold	Global para a Doença Pulmonar Obstrutiva Crónica
GOLD	Global para a Doença Pulmonar Obstrutiva Crónica
GOL	Grande Oriente Lusitano
GOL	Grupo Oficina do Livro
GOM	Grupo de Operações Metalomecânicas
Google.cn	Google chinês
GOOS	global dos oceanos
GOPE	grandes orientações de política económica
GOPE	Grandes Orientações de Política Económica
GOP	Gestão de Obras Públicas
GOP	Gestão e Obras Públicas
GOP	grandes opções do plano
GOP	Grandes Opções do plano
GOP	Grandes Opções do Plano
GOP	Grandes Opções do Plano 2010-2013
GOP	Grandes Opções do Plano de 2002
GOP	Grandes Opções do Plano de 2003
GOVD	Grupo Operacional de Vigilância Democrática
GPAA	Gabinete Permanente de Acompanhamento e Apoio aos Fogos
GPC	“Government Procurement Card”
GPF	Grupo Português de Fotobiologia
GPIAA	Gabinete de Prevenção e Investigação de Acidentes Aéreos
GPIAA	Gabinete de Prevenção e Investigação de Acidentes com Aeronaves
GPIAA	Gabinete de Prevenção e Investigação de Acidentes em Aeronaves
GPIAC	Gabinete de Prevenção e Investigação de Acidentes com Aeronaves
GPIE	Gabinete Pedagógico de Integração Escolar
GPI	Grupo de Primeira Intervenção
GPI	grupos de primeira intervenção
GPI	Grupos de Primeira Intervenção
GPI	Grupos Permanentes de Intervenção
GPL	gás de petróleo liquefeito
GPL	Gás de Petróleo Liquefeito
GPL	gás liquefeito de petróleo
GPL	gás propano liquefeito
GPL	gás propano líquido
GPLP	Gabinete de Política Legislativa e Planeamento
GPP	Gabinete de Planeamento e Política português
GPPS	Grupo Parlamentar do PS
GPRS	General Packet Radio Service
GPRS	/General Packet Radio Services
GPSA	Gabinete de Prevenção e Segurança Aeronáutica
GPS	Gestão de Participações Sociais
GPS	Global Positioning Sistem
GPS	Global positioning system
GPS	Global Positioning System
GPS	Global Position Sistem
GPS	Global Position System
GPS	Grupo Português de Saúde
GPS	grupos de primeiros socorros
GRACE	Grupo de Reflexão e Apoio à Cidadania Empresarial
GRAE	Grupos de Apoio às Actividades Especiais
GRAL	Gabinete para a Resolução Alternativa de Conflitos
GRAL	Gabinete para a Resolução Alternativa de Litígios
GRASP	Great Apes Survival Project
GRCV	Gabinete de Reconversão do Casal Ventoso
Greco	Grupo de Estados contra a Corrupção
Greco	Grupo de Estados Contra a Corrupção
GRECO	Grupo de Estados contra a Corrupção
GRECO	Grupo de Estados contra a Corrupção do Conselho da Europa
Greco	Grupo de Estados contra a Corrupção do Conselho de Europa
GRECO	Grupo Especial de Resposta ao Crime Organizado
GRICES	Gabinete de Relações Internacionais da Ciência e do Ensino Superior
GRIEC	Gabinete para as Relações Internacionais Europeias e de Cooperação
GRI	Gabinete de Relações Internacionais
GRI	Gabinete de Relações Internacional
GRI	Global Reporting Initiative
Gripe	gripe das aves
gr/l	gramas por litro
GRN	Gabinete de Reconstrução Nacional
GROG	Grupos Regionais de Observação da Gripe
Groquifar	Grossistas de Produtos Químicos e Farmacêuticos
GRR	Grupos de Reforço
grs/l	gramas/litro de sangue
grs/l	gramas por litro
grupo A	grupo considerado prioritário pelas autoridades de Saúde
grupo PT	grupo a que pertence
Grupo PT	grupo a que pertence
GSC	Germain Submarine Consortium
GSC	Germane Submarine Consortium
GSC	German Submarine Consortium
GSC	Gondomar Sport Clube
GSCOC	Gabinete do Serviço Cívico dos Objectores de Consciência
GSEE	Geral dos Trabalhadores Gregos
GS	golden share
GS	golden-share
GS	Goldman Sachs
GSI	Goldman Sachs International
GSK	GlaxoSmithKine
GSK	GlaxoSmithkline
GSK	GlaxoSmithKline
GSK	Glaxo Smith Kline
GSM	General Mobile System Communication
GSM	German Submarine Consortium
GSM	Global System for Mobile Communication
GSM	Global System for Mobile communications
GSM	Global System for Mobile Communications
GSO	Gabinete de Saúde Ocupacional
GTA	Grupo Técnico de Acompanhamento
GTES	Grupo de Trabalho de Educação Sexual
GTES	Grupo de Trabalho para a Educação Sexual
GT	grupo de trabalho
GT	Guiné Telecom
GTH	Grupo de Trabalho Homossexual
GTO	Grupo de Trabalho do Olival
Guarda	Gouveia e a integração de duas zonas das freguesias de Famalicão
Guarda	grandes proporções que deflagrou ontem entre Aldeia Viçosa
Guild"	Guilda de Autores"
GVM	Green Vision Media
GWEC	Global Wind Energy Council
GWe	gigawattes eléctricos
GWEO 2010	Global Wind Energy Outlook 2010
Gw	Gigawatts
GW	gigawatts
GWh	gigawatts hora
GWh	gigawatts-hora
GWh	gigawatts/hora
GWH	gigawatts.hora
GWh	gigawatts por hora
ha	hectares
HAL	Hospital Amato Lusitano
H &amp	Hennes &amp; Mauritz
H&amp;M	Hennes &amp; Mauritz
H&amp;M	Hennes&amp;Mauritz
H&amp;M	Hennes &amp; Moritz
H&amp;P	Helmerich &amp; Payne
H&amp;S	Heidrick &amp; Struggles
H&amp;S	Heidrick &amp; Strug-gles
HAP	hidrocarbonetos aromáticos policíclicos
HAS	hospital Amadora/Sintra
HBA	Hospital do Barlavento Algarvio
HBOS	Halifax Bank of Scotland
HBP	Hiperplasia Benigna da Próstata
HBSC	Health Behaviour in School-aged Children
HCA	Hospital Central do Algarve
HCB	hidroeléctrica de Cahora-Bassa
HCB	Hidroeléctrica de Cahora Bassa
HCB	Hidroeléctrica de Cahora-Bassa
HCC	habitação a custos controlados
HCC	Hospital Curry Cabral
HCF	"hipercolesterolemia familiar"
HCF	Hospital Central de Faro
HC	Hidrocantábrico
HC	Hospital da Covilhã
HCP	Health Cluster Portugal
HCP	Health Consumer Powerhouse
HCP	Hot Clube de Portugal
HCP	Hot Clube Portugal
HDFF	Hospital Distrital da Figueira da Foz
HDF	Hospital de Faro
HDF	Hospital Distrital de Faro
HDS	Hospital Distrital de Santarém
HDW	Howaldtswerke- Deutsche Werft
HDW	Howaldtswerke-Deutsche Werft AG
HDW	Howaldtswerke-Deutsch Werft
HEM	Hospital Egas Moniz
HESA	Helicóptero de Socorro e Assistência
HESE	Hospital do Espírito Santo de Évora
HFC	hidrofluorcarboneto
HFCs	hidrofluorocarbonetos
HFEA	Human Fertilisation and Embryology Authority
HFE	Health First Europe
HGO	hospital Garcia de Orta
HGO	Hospital Garcia de Orta
HGSA	Hospital Geral de Santo António
HGSA	Hospital Geral Santo António
HIPC	harmonizado de preços no consumidor
HLA	Hospital do Litoral Alentejano
HMB	Hospital Miguel Bombarda
HNSA	Hospital Nossa Senhora de Assunção
HNSR	Hospital Nossa Senhora do Rosário
Holanda	Hospital da Universidade de Groningen
HPA	Health Protection Agency
HPC	Hospitalar de Coimbra
HPC	Hospital Pediátrico de Coimbra
HPC	Hospital Pediátrico local
HPC	Hospital Pêro da Covilhã
HPG	Hospital Privado de Gaia
HP	Hewlett Packard
HP	Hewlett-Packard
HPH	Hospital Pedro Hispano
HP	Hospital Pediátrico
HPI	Hotel Price Index
HPP	habitação própria permanente
HPP	Hospitais Privados de Portugal
HPT	Hospital Privado da Trofa
HQS	Health Quality Service
HRE	Hypo Real Estate
HRF	High Readdiness Force
HRW	Human Rights Watch
HSA	hospitais SA
HSA	Hospital de Santo António
HSA	Hospital Santo António do Porto
HSBC	Hong Kong and Shanghai Bank Corporation
HSB	Hospital de São Bernardo
HSDPA	High Speed Downlink Packet Access
HSE	Health and Safety Executive
HS	Hospital de Santarém
HSJ	Hospital de São João
HSLE	Hospital de Santa Luzia de Elvas
HSM	Hospital de Santa Maria
HSM	Hospital de Sousa Martins
HSM	Hospital Sousa Martins
HSO	Hospital da Senhora da Oliveira
HSO	Hospital de Nossa Senhora da Oliveira
HSO	Hospital de Senhora da Oliveira
HSO	Hospital Senhora da Oliveira
HSPA	Hospitais de Serviço Público Administrativo
HSS	Hospital de São Sebastião
HSS	Hospital São Sebastião
HST	Hospital de São Teotónio
HTA	hipertensão arterial
HUC	Hospitais das Universidade de Coimbra
HUC	Hospitais da Uiversidade de Coimbra
HUC	hospitais da universidade da cidade
HUC	hospitais da Universidade de Coimbra
HUC	Hospitais da Universidade de Coimbra
HUC	Hospitais da Univesidade de Coimbra
HUC	Hospitais Universitários de Coimbra
HUC	Hospital da Universidade de Coimbra
HUC	Hospital Universitário de Coimbra
HUD	Head Up Display
Humpar	Humanização do Parto
HVP	Hospital Veterinário do Porto
IAA	Instituto Arqueológico Alemão
IAB	Internet Advertising Bureau
IACA	Industriais de Alimentos Compostos para Animais
IAC	Instituto da Arte Contemporânea
IA C	Instituto de Apoio à Criança
IAC	Instituto de Apoio à Criança
IAC	Instituto de Arte Contemporânea
IACS	Infecção Associada aos Cuidados de Saúde
IADE	Instituto de Artes Visuais Design e Marketing
IAD	Instituto de Acesso ao Direito
IAE	Inquérito à Actividade Empresarial
IAE	Inquérito à Actividade rial
IAESI	Instituto de Altos Estudos de Segurança Interna
IAF	imposto sobre as actividades financeiras
IAF	International Arrangement on Forests
IAGB	Industrieanlagen-Betriebsgesellschaft
IAG	International Airlines Group
IAG	International Consolidated Airlines Group
IA	imposto automóvel
IA	Imposto Automóvel
IA	imposto de registo automóvel
IA	imposto sobre veículos automóveis
IA	incluir o Automóvel
IA	Instituto da Água
IA	Instituto de Ambiente
IA	Instituto do Ambiente
IAJA	Instituto de Apoio a Jovens Advogados
IAJ	incentivo ao arrendamento jovem
IAJ	Incentivo ao Arrendamento Jovem
IAJ	Incentivo ao Arrendamento por Jovens
IAJ	Incentivo do Arrendamento Jovem
IAJ	Instituto ao Arrendamento Jovem
IAM	Internacional de Mecânicos e Trabalhadores Aeroespaciais
I&amp;D	IPB defende a "aposta" em projectos de investigação e desenvolvimento
IAMRA	International Association of Medical Regulatory Authorities
IAN/TT	Instituto dos Arquivos Nacionais/Torre do Tombo
IANTT	Instituto dos Arquivos Nacionais - Torre do Tombo
IAPMEI	Instituto de Apoio à Pequenas e Médias s e Inovação
IAPMEI	Instituto de Apoio às Pequena e Médias Empresas e ao Investimento
IAPMEI	Instituto de Apoio às Pequenas e Médias Empresas e à Inovação
IAPMEI	Instituto de Apoio às Pequenas e Médias Empresas e ao Investimento
IAPMEI	Instituto de Apoio às Pequenas e Médias Empresas e do Investimento
IAPMEI	Instituto de Apoio às Pequenas e Médias Empresas Industriais
IAPMEI	Instituto de Apoio às Pequenas e Médias s e à Inovação
IAPMEI	Instituto de Apoio às Pequenas e Médias s e Inovação
IAPMEI	instituto público que apoia o tecido empresarial
IARC	Internacional para a Pesquisa de Cancro
IASAÚDE	Instituto da Administração da Saúde na Madeira
IASAÚDE	Instituto de Administração da Saúde e Assuntos Sociais
Iasfa	Instituto de Acção Social das Forças Armadas
IASFA	Instituto de Acção Social das Forças Armadas
IAS	igual a 419,22 euros
IAS	igual a 628,83 euros
IAS	indexante de apoio social
IAS	indexante de apoios sociais
IAS	Indexante de Apoios Sociais
IAS	indexante dos apoios sociais
IAS	Indexante dos Apoios Sociais
IAS	Instituto de Acção Social
IAS	Internacionais de Contabilidade
IAS	International Accounting Standards
IAS	International Aids Society
IATA	internacional das transportadoras aéreas
IATA	Internacional de Transportadoras Aéreas
IATA	Internacional de Transporte Aéreo
IATA	internacional de transportes aéreos
IATA	Internacional de Transportes Aéreos
IATA	Internacional dos Transportes Aéreos
IATA	internacional do transporte aéreo
IATA	Internacional do Transporte Aéreo
IATA	Internacional do Transportes Aéreos
IATA	International Air Transport Association
IBA	Important Bird Area
IBA	Important Bird Areas
Ibama	Instituto Brasileiro de Defesa do Meio Ambiente
Ibama	Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis
Ibama	Instituto Brasileiro do Meio Ambiente
Ibama	Instituto brasileiro do meio ambiente e dos recursos naturais renováveis
Ibama	Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
IBA’s	Important Bird Areas
IBC	Iniciativa Bairros Críticos
IBCP	Instituto Bacteriológico Câmara Pestana
IBE	International Bureau for Epilepsy
IBGE	Instituto Brasileiro de Geografia e Estatística
IBGE	Instituto brasileiro de Geografia e Estatísticas
IBGE	Instituto Brasileiro de Geografia Estatística
IBILI	Instituto Biomédico de Investigação da Luz e Imagem
IB	International Baccalaureate
IBMC	Instituto de Biologia Molecular e Celular
IBM	International Businesse Machines
IBM	International Business Machines
IBM	Internationl Business Machines
IBN	In-Store Broadcasting Network
IBRRC	International Bird Rescue Research Center
IBS	Instituto Bernardo Santareno
IC13	Itinerário Principal 13
IC-19	Itinerário Complementar 19
IC/19	Itinerário Complementar 19
IC19	Itinerário Complementar 19
IC19	Itinerário Complemetar 19
IC1	itinerário complementar 1
IC-1	Itinerário Complementar 1
IC1	Itinerário Complementar 1
IC1	Itinerário Complementar nº1
IC1	Itinerário Complementar nº 1
IC1	itinerários Complementar 1
IC29	Itinerário Complementar 29
IC 2	Itinerário Complementar 2
IC-2	Itinerário Complementar 2
IC2	Itinerário Complementar 2
IC2	Itinerário Complementar n.º 2
IC-33	Itinerário Complementar 33
IC36	Itinerário Complementar 36
IC 5	Itinerário Complementar 5
IC5	Itinerário Complementar 5
IC 8	Itinerário Complementar 8
IC8	Itinerário Complementar 8
IC9	Itinerário Complementar 9
ICAA	International Council on Alcohol and Addictions
ICAC	Independente Contra a Corrupção de Hong Kong
ICA	Indústria e Comércio Alimentar
ICA	Instituto do Cinema e do Audiovisual
ICAL	Internacional de Aviação Civil
ICAM	Instituto de Cinema Audiovisuais e Multimédia
ICAM	Instituto de Cinema Audiovisual e Multimédia
ICANN	Internet Corporation for Assigned Names and Numbers
ICAO	Internacional da Aviação Civil
ICAO	Internacional de Aviação Civil
ICAO	International Civil Aviation Organization
ICAP	Instituto Civil da Autodisciplina da Comunicação Comercial
ICAP	Instituto Civil da Autodisciplina da Publicidade
ICAP	Instituto Civil da Autodisciplina de Publicidade
ICAP	Instituto Civil de Autodisciplina da Comunicação Comercial
ICAP	Instituto Civil de Autodisciplina da Publicidade
ICAP	Instituto Civil para a Autodisciplina da Comunicação Comercial
ICAR	instalações de consumo apoiado para a recuperação
ICAR	Instalações de Consumo Apoiado para a Recuperação
Icaros-NET	Integrated Computational Assessment of Urban Air Quality via Remote Observation Systems NETwork
ICAT	Instituto de Ciência Aplicada e Tecnologia
ICBAS	Instituto de Ciências Biomédicas Abel Salazar
ICBAS	Instituto de Ciências Biomédicas de Abel Salazar
ICBC	Industrial &amp; Commercial Bank of China
ICBC	Industrial and Commercial Bank of China
ICBC	Industrial Commercial Bank of China
ICBC	Industrial e Commercial Bank of China
ICCA	International Congress &amp; Convention Association
ICCAT	Internacional para a Conservação do Atum Atlântico
Iccat	Internacional para a Conservação do Atum no Atlântico
ICCAT	Internacional para a Conservação dos Tunídeos do Atlântico
ICCN	Instituto congolês para a Conservação da Natureza
ICCN	Instituto Congolês para a Conservação da Natureza
ICCO	Infantário Cooperativa de Campo de Ourique
ICD	Internacional Democrata do Centro
ICE	intercontinental de Londres
ICE	Intercontinental Exchange
ICE	Intercontinental Exchange Futures
ICE	Internacional Exchange Futures
ICEP	Instituto de Comércio Externo de Portugal
ICEP	Instituto de Comércio Externo Português
ICEP	Instituto do Comércio Externo de Portugal
ICEP	Instituto do Comércio Externo Português
ICEP	Investimentos Comércio e Turismo de Portugal
ICERR	Instituto de Conservação e Exploração da Rede Rodoviária
ICERR	Instituto de Conservação e Exploração da Rede Viária
ICERR	Instituto para a Conservação e Exploração da Rede Rodiviária
ICERR	Instituto para a Conservação e Exploração da Rede Rodoviária
ICERR	Instituto para a Conservação e Exploração da Rede Viária
Ices	Internacional para a Exploração dos Mares”
ICF	Institut Catalã de Finances
ICF	Instituto Catalão de Finanças
IC	Igreja Católica
ICI	imobiliário: o Confidencial Imobiliário
IC	indemnizações compensatórias
IC	Instituto Camões
IC	Instituto Cervantes
IC	Instituto do Consumidor
IC	Internacional Comunista
IC	itinerário complementar
IC	Itinerário Complementar
IC	itinerários complementares
IC	Itinerários Complementares
ICMEC	International Centre for Missing and Exploited Children
ICMI	Internacional de Instrução Matemática
ICMM	International Council on Mining and Metals
ICMPD	International Centre for Migration Policy Development
ICMS	Imposto sobre Circulação de Mercadorias e Serviços
ICNAS	Instituto de Ciências Nucleares Aplicadas à Saúde
ICNB	Instituto da Conservação da natureza e Biodiversidade
ICNB	Instituto da Conservação da Natureza e Biodiversidade
ICNB	Instituto da Conservação da Natureza e da Biodiversidade
ICNB	Instituto de Conservação da Natureza e Biodiversidade
ICNB	Instituto de Conservação da Natureza e da Biodiversidade
ICNB	Instituto para a Conservação da Natureza e Biodiversidade
ICNE	Internacional para a Nova Evangelização
ICN	Insiturio de conservação da Natureza
ICN	Instituti de Conservação da Natureza
ICN	Instituto Conservação da Natureza
ICN	Instituto da Conservação da Natureza
ICN	instituto de Conservação da Natureza
ICN	Instituto de Conservação da Natureza
ICN	Instituto de Conservação da Natureza"
ICN	Instituto de Conservação na Natureza
ICN	Instituto para a Conservação da Natureza
ICO	Instituto de Crédito Oficial
Icomos	Internacional de Monumentos e Sítios
ICOMOS	Internacional de Monumentos e Sítios
Icomos	International Council of Monuments and Sites
ICOR	Instituto de Conservação e Obras Rodoviárias
ICOR	Instituto de Construção Rodoviária
Icor	Instituto para a Conservação Rodoviária
ICOR	Instituto para a Conservação Rodoviária
Icor	Instituto para a Construção Rodoviária
ICOR	Instituto para a Construção Rodoviária
ICP-Anacom	infracções por parte da Autoridade Nacional das Comunicações
ICP	Indicadores de Curto Prazo
ICP	Instituto da Cooperação Portuguesa
ICP	Instituto das Comunicações de Portugal
ICP	Instituto de Comunicações de Portugal
ICRAN	International Coral Reef Action Network
ICSI	Intracitoplasmática
ICSI	Intra-Citoplasmática
ICSI	intra-citoplasmática de espermatozóides recolhidos cirurgicamente
ICS	Instituto de Ciências da Saúde
ICS	Instituto de Ciências Sociais
ICS	Instrução Complementar de Segurança
ICS	ISCTE/Instituto de Ciência Sociais
ICVS	International Crime Victim Survey
IDAD	Instituto do Ambiente e Desenvolvimento
IDA	Instituto de Ambiente e Desenvolvimento
IDA	Internacional Development Association
IDC	Inspecção Diplomática e Consular
IDC	Internacional Democrata-Cristã
IDC	Internacional Democrata do Centro
IDC	Internacional Democrática do Centro
IDC	International Data Corporation
IDD	Indústria de Desmilitarização da Defesa
IDD	Indústria de Desmilitarização e Defesa
IDD	Indústria de Destruição de Defesa
IDEA	Inovação e Desenvolvimento da Andaluzia
IDEA	Institute for Democracy and Electoral Assistance
Ideia	Investigação e Desenvolvimento rial Aplicado
IDE	investimento directo estrangeiro
IDE	Investimento Directo Estrangeiro
IDE	investimento directo português e estrangeiro
IDE	investimento estrangeiro directo
IDET	Instituto do Direito das s e do Trabalho
IDH	indicador de desenvolvimento humano
IDICIT	Instituto de Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto de Desenvolvimento das Inspecções das Condições de Trabalho
IDICT	Instituto de Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto de Desenvolvimento e Inspecção das Condições do Trabalho
IDICT	Instituto Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto do Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto e Desenvolvimento das Condições do Trabalho
IDICT	Instituto para Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto para o Desenvolvimento das Condições de Trabalho
IDICT	Instituto para o Desenvolvimento e Inspecção da Condições de Trabalho
IDICT	Instituto para o Desenvolvimento e Inspecção das Condições de Trabalho
IDICT	Instituto para o Desenvolvimento e Inspecção das Condições do Trabalho
IDI	Instituto Diplomático
ID	Intervenção Democrática
IDITC	Instituto de Desenvolvimento e Inspecção das Condições de Trabalho
Idite-Minho	Instituto de Desenvolvimento e Inovação Tecnológica do Minho
IDN	Instituto de Defesa Nacional
Idosos	idosos por cada 100 pessoas em idade activa
IDP	Instituto de Desporto de Portugal
IDP	Instituto Desporto de Portugal
IDP	Instituto do Desporto de Portugal
IDP	Instituto Nacional do Desporto
IDRAIT	Iniciativa de Desenvolvimento de Rotas Aéreas de Interesse Turístico
IDRAM	Instituto do Desporto da Região Autónoma da Madeira
IDRHa	Instituto de Desenvolvimento Rural e Hidráulica
IDRHA	Instituto de Desenvolvimento Rural e Hidráulica
IDS	Incomes Data Services
IDS	Indemnização Directa ao Segurado
IDS	Instituto de Desenvolvimento Social
IDS	Instituto para o Desenvolvimento Social
IDT	Instituo da Droga e da Toxicodependência
IDT	Instituo da Droga e Toxicodependência
IDT	Instituto da Droga e da Toxicodepência
IDT	Instituto da Droga e da Toxicodependência
IDT	Instituto da Droga e Toxicodependência
IDT	Instituto das Drogas e da Toxicodependência
IDT	Instituto de Droga e Toxicodependência
IEA	Internacional de Energia
IEA	International Energy Agency
IEC	imposto especial de consumo
IEC	Imposto Especial de Consumo
IEC	imposto especial sobre o consumo
IEC	Imposto Especial sobre o Consumo
IEC	impostos especiais de consumo
IEC	impostos especiais sobre o consumo
IEC	Instituto de Estudos da Criança
IEC	Internacional em Estudos da Criança
IECLB	Igreja Evangélica de Confissão Luterana no Brasil
IEEI	Instituto de Estudos Estratégicos e Internacionais
IEEI	Instituto de Estudos Estratégicos Internacionais
IEE	Institute of Electrical and Electronic Engineers
IEFP	Insituto de Emprego e Formação Profissional
IEFP	Instituto de Emprego e Formação profissional
IEFP	Instituto de Emprego e Formação Profissional
IEFP	Instituto do Emprego e da Formação Profissional
IEFP	Instituto do Emprego e Formação Profissional
IEFP	Instituto para o Emprego e Formação Profissional
IEFP	Instituto Superior do Emprego e Formação Profissional
IEG	Instituto Estatístico da Galiza
i.e.	integral dos lucros recebidos
IE	Internet Explorer
IEO	Instituto Espanhol de Oceanografia
IEP	Insitituto de Estradas de Portugal
IEP	Instituto das Estradas de Portugal
IEP	Instituto de Educação e Psicologia
IEP	Instituto de Estradas de Portugal
IEP	Instituto Estradas de Portugal
IEP	institutos das Estradas de Portugal
IEP	institutos de Estradas de Portugal
IEPP	Igreja Evangélica Presbiteriana de Portugal
IERR	Instituto para a Energia e Investigação sobre Ambiente
IESD	Identidade Europeia de Segurança e Defesa
IESIG	Instituto de Estudos Superiores Isidoro da Graça
IES	Informação Empresarial Simplificada
IES	Instituto de Empreendedorismo Social
